metric,level,train,val,test
accuracy_pip,10,14.6,18.0,17.2
accuracy_pip,20,28.1,34.6,33.4
accuracy_pip,30,40.4,49.0,50.6
accuracy_pip,40,51.4,61.4,63.0
accuracy_pip,50,61.1,70.5,74.1
accuracy_pip,60,68.6,77.5,79.9
accuracy_pip,80,79.9,88.1,88.6
accuracy_pip,100,87.5,94.1,93.5
accuracy_decimals,1,96.4,98.2,93.7
accuracy_decimals,2,54.3,62.0,64.2
accuracy_decimals,3,7.1,9.0,8.0
accuracy_decimals,4,1.0,1.1,0.5
coverage,60,60.0,60.4,63.4
coverage,70,70.0,69.7,72.4
coverage,80,80.0,79.3,84.0
coverage,90,90.0,89.3,91.3
