horizon,features,max_depth,min_samples_leaf,val_r2,test_r2,val_corr
5,31 shared,4,5,0.1822,0.0985,0.442
5,31 shared,4,20,0.159,0.0935,0.4307
5,31 shared,4,50,0.1575,0.0882,0.4377
5,31 shared,6,5,0.1358,0.0526,0.4509
5,31 shared,6,20,0.1323,0.0479,0.4503
5,31 shared,6,50,0.1247,0.0469,0.44
5,31 shared,8,5,0.0985,0.0117,0.4365
5,31 shared,8,20,0.0912,0.0091,0.4309
5,31 shared,8,50,0.1166,0.0439,0.4365
5,31 shared,12,5,0.0741,-0.0111,0.4256
5,31 shared,12,20,0.0825,0.0009,0.4272
5,31 shared,12,50,0.1165,0.0443,0.4365
5,31 + vol memory,4,5,0.1562,0.0814,0.4293
5,31 + vol memory,4,20,0.1807,0.11,0.4463
5,31 + vol memory,4,50,0.1976,0.111,0.4609
5,31 + vol memory,6,5,0.1028,0.0592,0.3975
5,31 + vol memory,6,20,0.1355,0.1049,0.4152
5,31 + vol memory,6,50,0.1798,0.1029,0.4492
5,31 + vol memory,8,5,0.0769,0.0349,0.3812
5,31 + vol memory,8,20,0.1121,0.0884,0.3995
5,31 + vol memory,8,50,0.1762,0.0989,0.4485
5,31 + vol memory,12,5,0.0628,0.0198,0.3742
5,31 + vol memory,12,20,0.1071,0.0818,0.3974
5,31 + vol memory,12,50,0.1758,0.0992,0.4485
10,31 shared,4,5,0.2505,0.1147,0.5457
10,31 shared,4,20,0.2341,0.0914,0.5496
10,31 shared,4,50,0.223,0.0816,0.5439
10,31 shared,6,5,0.189,-0.0246,0.5408
10,31 shared,6,20,0.1592,0.0117,0.5499
10,31 shared,6,50,0.1929,0.0177,0.5563
10,31 shared,8,5,0.148,-0.0777,0.5267
10,31 shared,8,20,0.1051,-0.0038,0.5301
10,31 shared,8,50,0.1834,0.0226,0.552
10,31 shared,12,5,0.1121,-0.086,0.5168
10,31 shared,12,20,0.098,-0.0167,0.5274
10,31 shared,12,50,0.1834,0.0227,0.552
10,31 + vol memory,4,5,0.25,0.0766,0.5397
10,31 + vol memory,4,20,0.2742,0.0941,0.552
10,31 + vol memory,4,50,0.286,0.0937,0.5642
10,31 + vol memory,6,5,0.1266,0.0289,0.4806
10,31 + vol memory,6,20,0.1774,0.0488,0.5066
10,31 + vol memory,6,50,0.2476,0.0825,0.5457
10,31 + vol memory,8,5,0.0518,-0.0657,0.4387
10,31 + vol memory,8,20,0.1377,0.0079,0.484
10,31 + vol memory,8,50,0.2395,0.0781,0.5413
10,31 + vol memory,12,5,0.0246,-0.0963,0.4285
10,31 + vol memory,12,20,0.127,-0.0003,0.4796
10,31 + vol memory,12,50,0.239,0.078,0.5411
