n_features,max_depth,min_samples_leaf,train_r2,val_r2,test_r2,val_corr
4,3,5,0.3422,0.2321,0.043,0.4838
4,3,20,0.3401,0.2176,0.1016,0.4789
4,3,50,0.3377,0.2143,0.0917,0.4792
4,4,5,0.3934,0.1948,0.0838,0.4694
4,4,20,0.3869,0.191,0.0797,0.4638
4,4,50,0.3705,0.202,0.0931,0.4777
4,5,5,0.4594,0.164,0.0259,0.4661
4,5,20,0.4366,0.1657,0.0534,0.4561
4,5,50,0.4032,0.1875,0.082,0.4749
4,6,5,0.5323,0.112,-0.046,0.458
4,6,20,0.4828,0.1384,0.0292,0.4476
4,6,50,0.4203,0.18,0.0695,0.4733
4,8,5,0.656,0.042,-0.1153,0.4462
4,8,20,0.5349,0.112,0.015,0.4363
4,8,50,0.4272,0.1785,0.069,0.474
6,3,5,0.3508,0.1575,0.0872,0.4159
6,3,20,0.3498,0.1334,0.1048,0.3977
6,3,50,0.3468,0.129,0.1005,0.3963
6,4,5,0.4113,0.0952,0.0631,0.3691
6,4,20,0.403,0.0374,0.0951,0.3122
6,4,50,0.3858,0.0702,0.092,0.3376
6,5,5,0.4905,0.0671,0.0927,0.3293
6,5,20,0.4612,-0.0315,0.0718,0.2602
6,5,50,0.429,0.0403,0.075,0.3373
6,6,5,0.5699,0.0434,0.0632,0.3069
6,6,20,0.5116,-0.0695,0.031,0.258
6,6,50,0.4478,0.0245,0.0637,0.3323
6,8,5,0.6941,0.0158,-0.0006,0.3001
6,8,20,0.568,-0.102,0.0039,0.246
6,8,50,0.4565,0.0181,0.059,0.3296
8,3,5,0.3763,0.1896,0.1093,0.4466
8,3,20,0.3652,0.1809,0.1026,0.44
8,3,50,0.3617,0.1788,0.1002,0.4395
8,4,5,0.4495,0.1705,0.1032,0.4555
8,4,20,0.4278,0.1612,0.0991,0.4513
8,4,50,0.4034,0.1561,0.091,0.4469
8,5,5,0.5204,0.1227,0.0739,0.4726
8,5,20,0.4834,0.1238,0.0829,0.4653
8,5,50,0.4368,0.1385,0.067,0.4559
8,6,5,0.5911,0.1276,0.0494,0.4727
8,6,20,0.5294,0.0961,0.0581,0.452
8,6,50,0.4578,0.1134,0.0525,0.4388
8,8,5,0.7109,0.0744,-0.0077,0.4437
8,8,20,0.5878,0.0435,0.0018,0.4234
8,8,50,0.4719,0.1064,0.0494,0.4343
10,3,5,0.3886,0.2149,0.088,0.4648
10,3,20,0.3752,0.2017,0.089,0.4555
10,3,50,0.3656,0.1903,0.092,0.4474
10,4,5,0.4515,0.1883,0.0987,0.4558
10,4,20,0.4293,0.168,0.0976,0.451
10,4,50,0.4055,0.1624,0.088,0.4492
10,5,5,0.513,0.1408,0.0802,0.4549
10,5,20,0.4807,0.1456,0.0842,0.4668
10,5,50,0.4393,0.1492,0.063,0.4606
10,6,5,0.5759,0.1332,0.0498,0.4624
10,6,20,0.5259,0.1123,0.0576,0.4538
10,6,50,0.4614,0.1246,0.0467,0.4457
10,8,5,0.6956,0.0852,-0.001,0.4396
10,8,20,0.588,0.0547,-0.0001,0.4225
10,8,50,0.4769,0.118,0.0463,0.4429
15,3,5,0.3965,0.2131,0.0826,0.4621
15,3,20,0.3833,0.2068,0.0786,0.4557
15,3,50,0.3707,0.1959,0.0862,0.4482
15,4,5,0.4553,0.1805,0.0988,0.4415
15,4,20,0.4305,0.1596,0.0894,0.4315
15,4,50,0.4077,0.1575,0.0864,0.4391
15,5,5,0.5168,0.1511,0.0801,0.4475
15,5,20,0.4793,0.1583,0.0692,0.4594
15,5,50,0.4413,0.1479,0.0602,0.4547
15,6,5,0.5784,0.1368,0.0435,0.4557
15,6,20,0.5263,0.1298,0.0416,0.4526
15,6,50,0.4649,0.1247,0.0402,0.4421
15,8,5,0.6991,0.0891,-0.0014,0.4345
15,8,20,0.5927,0.0795,-0.008,0.4285
15,8,50,0.4806,0.1178,0.0375,0.4394
31,3,5,0.3966,0.2139,0.0828,0.4628
31,3,20,0.3833,0.2079,0.0789,0.4568
31,3,50,0.3707,0.1969,0.0864,0.4492
31,4,5,0.4551,0.1838,0.0984,0.4444
31,4,20,0.4302,0.1618,0.0928,0.4342
31,4,50,0.4075,0.1592,0.0874,0.4404
31,5,5,0.5153,0.1526,0.08,0.4493
31,5,20,0.4776,0.1571,0.0723,0.459
31,5,50,0.4405,0.1473,0.0621,0.4544
31,6,5,0.5745,0.1317,0.0478,0.4518
31,6,20,0.5234,0.1316,0.0459,0.4533
31,6,50,0.464,0.1268,0.0441,0.4435
31,8,5,0.6907,0.0925,0.0038,0.4368
31,8,20,0.5899,0.0896,0.0056,0.4337
31,8,50,0.4796,0.1195,0.0428,0.4403
