horizon,transform,model,val_r2,test_r2,val_corr,train_r2
1,raw,Random Forest,0.0661,0.0145,0.2585,0.2222
1,raw,XGBoost,0.0528,0.0028,0.2459,0.3944
1,raw,Ridge,-0.2766,-0.5909,0.2223,0.1088
1,log,Random Forest,0.0341,0.0013,0.1872,0.1638
1,log,XGBoost,-0.0865,-0.3103,0.0495,0.3493
1,log,Ridge,-0.0366,-0.2145,0.177,0.051
5,raw,Random Forest,0.1323,0.0479,0.4503,0.5226
5,raw,XGBoost,-0.0168,0.1069,0.3514,0.6523
5,raw,Ridge,-0.9885,-2.1831,0.444,0.3217
5,log,Random Forest,-0.0142,0.0356,0.3949,0.568
5,log,XGBoost,-0.7948,-0.3902,0.0834,0.6214
5,log,Ridge,-0.8434,-1.573,0.4459,0.3306
10,raw,Random Forest,0.1592,0.0117,0.5499,0.6891
10,raw,XGBoost,-0.2954,-0.0318,0.2902,0.7732
10,raw,Ridge,-1.5085,-3.4013,0.5598,0.4133
10,log,Random Forest,-0.0177,-0.0479,0.5171,0.7351
10,log,XGBoost,-1.2761,-0.5377,0.2029,0.7676
10,log,Ridge,-1.2236,-2.3852,0.564,0.4269
20,raw,Random Forest,0.0379,0.0598,0.5818,0.8204
20,raw,XGBoost,-0.1411,0.195,0.274,0.8803
20,raw,Ridge,-1.9334,-5.1545,0.6416,0.4986
20,log,Random Forest,-0.2774,-0.2657,0.4359,0.8392
20,log,XGBoost,-0.3457,0.1661,0.364,0.877
20,log,Ridge,-1.4993,-3.2828,0.6537,0.5113
